Turismiobjekti nimi,Turismiobjekti kirjeldus,Kategooria,Tüüp,Teemaviited,Turismiobjekti koduleht,Turismiobjektii e-post,Turismiobjekti tel nr,Turismiobjekti aadress,Broneerimise link,Kvaliteedimärgised,Omadused ja üldine varustus,Tärnid,facebook,instagram,tiktok,X,Ettevõtte registrikood,Ettevõtte nimi,Ettevõtte aadress,Ettevõtte telefon,Ettevõtte e-post,Ettevõtte koduleht,Piirkond,Turismipiirkonnad ja kultuuriruumid,Saared,Hooaeg,Hooaja periood,Lahtiolekuaeg,Avatud ajad,Juurdepääsupiirangud,Tubade arv kokku,Voodikohad,Voodikohtade arv kõrghooajal,Voodikohtade arv madalhooajal,Haagissuvila kohtade arv,Telkimiskohtade arv
Ninavärava puhkemaja,"Ninavärava puhkemaja asub looduskaunis Vilsandi rahvuspargis Elda poolsaarel. Kuna maja asub poolsaare tipus, siis lummavat merevaadet saad nautida igast toast.
 
Kahekordses puhkemajas on avar elutuba, suur köök koos kogu söögitegemiseks vajalikuga, 3 magamistuba, 2 wc-d ja duŝŝ. 
Lisandunud on siseterass, ideaalne paik mõnusaks olemiseks ja lõõgastumiseks.Puhkemaja muudab eksklusiivseks pikk mererannik, kust leiab privaatse liivaranna supluseks. Nautida saad saunamõnusid ja grillimist. Pisematele on hoovis batuut ja liivakast.
Harmoonia, kus kohtuvad Saaremaa imeline loodus ja sillerdav meri!",Majutus,Puhkemaja,Peresõbralik,https://ninavarava.ee/,info@ninavarava.ee,+372 528 8718,"Ninavärava, Atla küla, Saaremaa vald, Saare maakond",,,"Külmutuskapp,Parkimine tasuta,Puhkeala/piknikuplats,Saun,WC,WIFI",,,,,,11102086.0,VALICECAR OÜ,"Ninavärava, Atla küla, Saaremaa vald, Saare maakond",+372 528 8718,info@valicecar.ee,https://valicecar.ee/,Lääne-Eesti,,Saaremaa,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ööpäevaringselt,00:00-24:00,,3.0,7.0,8.0,8.0,0.0,0.0
Ninnujärve Privaat Puhkemaja,"Ninnujärve Privaat Puhkemaja peab ise kogema, et selle võludest aru saada. Privaatne asukoht, vaikus ja rahu. Hubane, kõigi mugavustega maja asub järve kaldal, naabermajadest eemal, hektari suurusel krundil.Me ootame Teid puhkama. Me ootame Teid tutvuma saarte looduse ja väärtustega. Me ootame Teid saama osa saarelisest köögist. Me ootame Teid kontsertidele, näitustele, etendustele ja spordivõistlustele. Me ootame Teid ostma meie kaupu ja teenuseid meretagusel maal.",Majutus,Puhkemaja,,,ninnujarve@gmail.com,+372 53326442,"Järviku tee 2, Nasva alevik, Saaremaa vald, Saare maakond",,,"Kuivkäimla,Külmutuskapp,Parkimine tasuta,Pesumasin,Puhkeala/piknikuplats,WC,WIFI",,,,,,12028765.0,Ninnujärve OÜ,"Järviku tee, Nasva alevik, Saaremaa vald, Saare maakond",+372 53326442,vembu65@hotmail.com,http://www.adoreholiday.eu,Lääne-Eesti,,Saaremaa,Hooajaliselt,1 Aprill - 1 September,Ainult ettetellimisel,,,3.0,6.0,0.0,0.0,0.0,0.0
Nogo turismitalu,"Nogo Turismitalu häärberis pakume aastaringselt majutust kokku 18le külalisele: I korrusel on kõigi vahenditega varustatud avar köök, suur tuba kaminaga, valgusküllane veranda, vanniga sviit ja 3 voodikohaga sviit. Häärberi II korrusel on kokku 5 tuba (2 ja 3kohalised).
Suvisel perioodil on võimalik puhata ja ööbida ka 14-el külalisel talukompleksi aidas, kus on alles jäetud kõik arhailine, aga juurde on loodud tänapäevased mugavused.
Soovi korral saame ettetellimisel pakkuda ka toitlustust. Samuti on ruumi grillimiseks, mängudeks ning piisavalt rohelust ja privaatsust. Pakume ka saunavõimalust.",Majutus,Puhkemaja,,http://www.saunamaa.ee/index.html,info@saunamaa.ee,+372 5070244,"Saunamaa, Nogu küla, Rõuge vald, Võru maakond",,,"Parkimine tasuta,Puhkeala/piknikuplats,Saun,Toitlustus",,,,,,11250415.0,Cottage OÜ,"Marta tänav 14 12, Kesklinna linnaosa, Tallinn, Harju maakond",+372 5070244,info@saunamaa.ee,http://www.saunamaa.ee/nogo_turismitalu,Lõuna-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,9.0,32.0,32.0,18.0,0.0,0.0
Nõiamaja - ööbimine nõiariigis,"Uhtjärve Ürgoru Nõiariik Võrumaal pakub tegevust kõigile - peredele, suurtele ja väikestele gruppidele.Kui soovid külastada või ööbida maailma kõige väiksemas ning erilisemas riigis, siis sea sammud Uhtjärve Ürgoru Nõiariigi poole. Teile tutvustatakse Nõiariigi valdusi ja räägitakse erinevaid legende. Pakume ka majutust - mõnusad toad põhihoonetes ja neile, kes soovivad veidi ekstreemsust, on pakkuda omamoodi ööbimist nagu muinasjutus - kanajalgadel majakestes.  ",Majutus,"Puhkeküla, karavanid",,http://www.noiariik.ee,noiariik@gmail.com,+372 5333 2253,"Nõiariigi, Uhtjärve küla, Antsla vald, Võru maakond",https://bit.ly/4nAiRjl,,"Kuivkäimla,Parkimine tasuta,Puhkeala/piknikuplats,WIFI",,https://www.facebook.com/noiariik/,https://www.instagram.com/uhtjarve_noiariik/,,,11045603.0,Uhtjärve Ürgoru Nõiariik OÜ,"Uhtjärve küla, Antsla vald, Võru maakond",,info@noiariik.ee,,Lõuna-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,3.0,7.0,7.0,0.0,0.0,0.0
Nõmme Puhketalu,"Nõmme Puhketalu asub Mustvee vallas Tammispää külas privaatselt metsa sees Peipsi järve lähedal. Puhketalu on ideaalne koht, kus puhata linnakärast või lihtsalt aeg korraks maha võtta. Sobilik eelkõige pere ja sõpradega puhkamiseks. Majas on kokku neli magamistuba, kolm peretuba ja üks suurem tuba 6 üheinimesevoodiga. Kokku 14 voodikohta, lisaks 2 lapsevoodit ja 2 voodit beebile. Peamajas on  ka hubane köök  ja puhkeruum kaminaga. Lisatasu eest saab rentida saunamaja tiigi kaldal ja/või kümblustünni. NB! Meile tulles ei tohi auto ega autojuht karta külateed ja metsateed.Tule meile külla! ",Majutus,Puhkemaja,Telkimisplatsid,https://www.nommepuhketalu.ee,sirle.tomson@mail.ee,+372 5231908,"Nõmme, Tammispää küla, Mustvee vald, Jõgeva maakond",https://live.touringery.ee/6b3e3e6/majutus-koos-sauna-ja-kumblustunniga/,,"Kuivkäimla,Külmutuskapp,Parkimine tasuta,Peretoad,Puhkeala/piknikuplats,Saun,Seminariruum,WC,WIFI",,https://www.facebook.com/NommePuhketalu/,https://www.instagram.com/nommepuhketalu/,,,11969023.0,OÜ Šotlane,"Tammispää küla, Mustvee vald, Jõgeva maakond",+372 5231908,sirle.tomson@mail.ee,,Lõuna-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,5.0,14.0,14.0,14.0,0.0,6.0
Nõmme Puhketalu saunamaja ja kümblustünn,"Nõmme Puhketalu asub Tammispää külas Mustvee vallas Jõgevamaal privaatselt metsade sees.Lisaks puhkemajale rendime välja ka saunamaja kuni kümnele inimesele. Tiigi kaldal asuvas saunamajas saab puuküttega kerisele leili visata või kümblustünnis mõnuledes taevatähti imetleda. Saunamaja puhkeruumi lahtikäivale diivanvoodile mahub magama kaks inimest.Armastame loodus- ja maalähedast eluviisi, seega kogu elekter tuleb meil päikeseenergiast. Tiigis saab ujuda või paadiga sõita. Peipsi järv on 2 km kaugusel. Nii auto ega ka autojuht ei tohi karta külavaheteed ja metsateed. Tule meile külla!",Majutus,Elamusmajutus,,https://www.nommepuhketalu.ee,sirle.tomson@mail.ee,+372 5231908,"Nõmme, Tammispää küla, Mustvee vald, Jõgeva maakond",https://live.touringery.ee/6b3e3e6/majutus-koos-sauna-ja-kumblustunniga/,,"Kuivkäimla,Külmutuskapp,Parkimine tasuta",,https://www.facebook.com/NommePuhketalu,https://www.instagram.com/nommepuhketalu/,,,11969023.0,OÜ Šotlane,"Tammispää küla, Mustvee vald, Jõgeva maakond",+372 5231908,sirle.tomson@mail.ee,,Lõuna-Eesti,,,Hooajaliselt,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,1.0,2.0,2.0,2.0,0.0,0.0
Noorus Spa Hotel,"Noorus SPA Hotel asub Narva-Jõesuus ja on kuurordi spaahotell.
Kaasaegse arhitektuuri ja 114 numbritoaga spaahotell on puhkekohaks väärikale kliendile, kes saab siin olles tunda lõputut noorust ja rahulolu. Iga külaline leiab endale sobilikke teenuseid, hubasust ja kõrget kvaliteeti.
Hotellis on SPA kompleks Three Apples SPA, kus on fitness-keskus, saunakeskus ja veepark, VIP-oaas ja wellness keskus. Toitlustuskohtadena on Restoran Romantic Garden ja Pubi. Majas on ka konverentsikeskus.",Majutus,Hotell,"Peresõbralik,Spaad",http://www.noorusspahotel.com/,sales@noorusspahotel.com,+372 3567100,"L. Koidula tn 19d, Narva-Jõesuu linn, Narva-Jõesuu linn, Ida-Viru maakond",https://ibe.smarthotel.nl/?id=c35cbc01-559f-40e3-a565-808b5448342c,,"Haagissuvila/karavani parkla,Jõusaal,Laste mängutuba,Seminariruum,WC,WIFI",,https://www.facebook.com/noorusspahotel/,,,,12486835.0,Noorus OÜ,"Lydia Koidula tänav 19, Narva-Jõesuu linn, Narva-Jõesuu linn, Ida-Viru maakond",+372 55567718,tsirkunova@noorushotels.com,http://www.noorusspahotel.com,Põhja-Eesti,,,Hooajaliselt,1 Juuni - 31 August,Ööpäevaringselt,00:00-24:00,,114.0,228.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,1 September - 31 Mai,Ainult ettetellimisel,,,114.0,228.0,0.0,0.0,0.0,0.0
Noorus SPA Hotel karavaniparkla,"Suurepärase asukohaga kuurortlinnas Narva-Jõesuus otse Noorus SPA Hotel`i kõrval asuval karavaniautodele mõeldud parklas on 4 parkimiskohta ja kogu autokaravanide jaoks mõeldud maa-ala on kokku 100 m².
Parkla on varustatud elektritoite ja veega. Narva-Jõesuu liivarand on kõigest 100 m kaugusel. Kõralasuvas Noorus spaas saab nautida veekeskust ja süüa restoranis või pubis.Kohti on piiratud arv ja puhkama tulles soovitame koha broneerida ning ettetellimine ja registreerimine käib läbi Noorus SPA hotelli vastuvõtu.",Majutus,"Puhkeküla, karavanid",,https://www.noorusspahotel.com/,sales@noorusspahotel.com,+372 3567100,"L. Koidula tn 19d, Narva-Jõesuu linn, Narva-Jõesuu linn, Ida-Viru maakond",,,"Haagissuvila/karavani parkla,Parkimine tasuline,WC",,https://www.facebook.com/noorusspahotel,https://www.instagram.com/noorusspahotel/,,,12486835.0,Noorus OÜ,"Lydia Koidula tänav 19, Narva-Jõesuu linn, Narva-Jõesuu linn, Ida-Viru maakond",+372 55567718,tsirkunova@noorushotels.com,http://www.noorusspahotel.com,Põhja-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ööpäevaringselt,00:00-24:00,,0.0,0.0,0.0,0.0,4.0,0.0
Nooruse Majutus,"Nooruse Majutus on mõnus ja hubane peremajutus Kuressaares mere lähedal, väikese jalutuskäigu kaugusel südalinnast ja lossipargist. Meie majutus on Sulle suurepäraseks peatuspaigaks kui pead lugu vaikusest, hubasusest ja kvaliteetsest öömajast. Kõrvalasetsev Nooruse park võimaldab Sul nautida ilusat loodust, kuulata linnulaulu ning metsavaikust ja tegeleda tervisespordiga.",Majutus,Kodumajutus,,,nooruse@tt.ee,+372 5343 5963,"Nooruse tn 46, Kuressaare linn, Saaremaa vald, Saare maakond",,,"Külmutuskapp,Parkimine tasuta,WIFI",,,,,,12928724.0,Heimar Põld,"Nooruse tänav 46, Kuressaare linn, Saaremaa vald, Saare maakond",+372 53435963,nooruse@tt.ee,,Lääne-Eesti,,Saaremaa,Hooajaliselt,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,2.0,4.0,4.0,4.0,0.0,0.0
Nordic Bliss Käsmu,"Tere tulemast Nordic Bliss rannamajja – see luksuslik ja romantiline puhkemaja asub Käsmu südames Lahemaa rahvuspargis, ümbritsetuna imelisest loodusest ja lõpututest päikeseloojangutest.
Nordic Bliss pakub kõike, mida vajate lõõgastumiseks, perega kvaliteetaja veetmiseks või kodust eemal töötamiseks. See meeldejääv puhkusepaik pakub hubast ja mugavat majutust kuni 4 külalisele. Peamajas on 3 magamistuba ja 4 voodit, mis võimaldavad kõigil mõnusalt lõõgastuda.
Terrass on ideaalne koht, kus koos hea raamatuga aega veeta. Grillala on parim koht pere ja sõpradega BBQ nautimiseks.",Majutus,Puhkemaja,,,maria@eksfisk.ee,+372 5553 8581,"Neeme tee 68, Käsmu küla, Haljala vald, Lääne-Viru maakond",https://airbnb.com/h/nordicbliss,,"Külmutuskapp,Laste mängutuba,Parkimine tasuta,Pesumasin,Puhkeala/piknikuplats,WC,WIFI",,https://www.facebook.com/nordicblissk2smu,https://www.instagram.com/nordic_bliss_k2smu/,,,16570461.0,MoneyMagnet OÜ,"Tiskre tee 3a, Haabersti linnaosa, Tallinn, Harju maakond",+372 55538581,maria@eksfisk.ee,,Põhja-Eesti,Lahemaa rahvuspark,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,3.0,6.0,0.0,0.0,0.0,0.0
Nordic Hotel Forum,"Modernne nelja tärni superior taseme äri- ja konverentsihotell Nordic Hotel Forum ootab Teid Tallinna linna südames!Kõik hotellitoad on avarad ning elegantselt sisustatud ja pakuvad mugavust ka kõige nõudlikumale külalisele. Hotelli 8. korrusel asub uhke vaatega lõõgastuskeskus. Teie käsutuses on sisebassein, mullivann, leili- ja aurusaun. Täisvarustusega treeningruum on hotellis majutuvatele külalistele avatud koguni 24h.Hotelli esimesel korrusel ootab Teid restoran Noho ning õdusa kaminatulega lobby-baar. Restoran Noho põhifookuses on loodus, kohalik ja värske tooraine.",Majutus,Hotell,Green Key,https://www.nordichotels.eu/,forum@nordichotels.eu,+372 622 2900,"Viru väljak 3, Kesklinna linnaosa, Tallinn, Harju maakond",https://book.bwhhotelgroup.com/content/ibe-86137/et_EE/booking-path/hotel-rooms.86137.html,Green Key,"Allergikute toad,Gruppide toitlustus,Invatoad,Jõusaal,Konditsioneer,Parkimine tasuline,Peretoad,Saun,Seminariruum,Suplusbassein,Toitlustus,WC,WIFI",4 tärni,https://www.facebook.com/NordicHotelForum/,https://www.instagram.com/nordichotelforum/,,,11149337.0,OÜ Nordic Hotels,"Viru väljak 3, Kesklinna linnaosa, Tallinn, Harju maakond",,info@nordichotels.eu,,Tallinn,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ööpäevaringselt,00:00-24:00,,258.0,516.0,0.0,0.0,0.0,0.0
Nõva Hostel,"Nõva Hostel pakub majutust peredele, matkajatele, ratturitele kui ka kuni 25-liikmelise peoseltskonnale. Majas on kokku 5 magamistuba ja lisaks privaatne korteri-taoline Apartment (2 magamistuba, elutuba ja duširuum wc-ga, voodikohti kuuele). Meil on seminari/peosaal ning eheda puhkamise tarbeks tasuks käia meie puuküttega saunas! Koos terrassi ja välidušiga on see megavahva kogemus nii suvel kui talvel!Nõva Mõisa Kohvik ja pood asuvad meist väikse jalutuskäigu kaugusel (1km) ning sama kaugel on meist imeilus Nõva rand, teerada kulgeb mööda mustika-pohla-seenemetsa.Olete oodatud!",Majutus,Hostel,Peresõbralik,https://www.novahostel.ee/et/,novahostelinfo@gmail.com,+372 5234817,"Vallamaja, Nõva küla, Lääne-Nigula vald, Lääne maakond",https://www.booking.com/hotel/ee/nova-hostel.et.html,,"Külmutuskapp,Laste mängutuba,Parkimine tasuta,Pesumasin,Puhkeala/piknikuplats,Seminariruum,WC,WIFI",,https://www.facebook.com/N%C3%B5va-Hostel-2512561188768762,https://www.instagram.com/novahostel/,,,12339689.0,Angleton OÜ,"Nõva Hostel, Nõva küla, Lääne-Nigula vald, Lääne maakond",+372 5234817,novahostelinfo@gmail.com,,Lääne-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,6.0,25.0,25.0,20.0,0.0,10.0
Nõva metskonna Metsamaja,"Nõva metskonna Metsamaja asub Nõva maastikukaitsealal, liivarannast 1 km kaugusel ja sobib Sulle mõnusaks rannapuhkuseks. Majas on 2 väikest magamistuba dušši ja WC-ga.Loodushuvilisi peibutavad Nõva ja Suursoo maastikukaitsealad oma soode ja rabadega, ajaloohuvilistele on läheduses Nõva kirik ning unikaalne Peraküla ja Tantsujärve vaheline I Maailmasõja aegne munakivitee.",Majutus,Puhkemaja,,,pheinleht@gmail.com,+372 503 8136,"Vana-Metskonna, Nõva küla, Lääne-Nigula vald, Lääne maakond",,,"Külmutuskapp,Parkimine tasuta,WC",,https://www.facebook.com/Nõva-metskonna-puhkemajad-590626301051076/,,,,10397211.0,OÜ Hevera,"Nõva küla, Lääne-Nigula vald, Lääne maakond",+372 5160241,heinleht@hot.ee,,Lääne-Eesti,,,Hooajaliselt,1 Juuni - 31 August,Ainult ettetellimisel,,,3.0,4.0,4.0,0.0,0.0,0.0
NPLIHOUSE puhkemaja,"Tule meile ja avasta naabruses olevat Otepää ""Everesti"" ning ümberringi olevaid lugematuid järvi ja terviseradu. Puhkemajast astud otse väravast välja Tartu maratoni suusarajale, Väike-Munamäe Suusakeskus asub 200 m kaugusel, kohe värava taga asub Otepää Wakepark, samuti on läheduses Tehvandi Discgolf, Otepää Seikluspark, Pühajärve rand ja spa ning Otepää Golfikeskus.Puhkemajas loob sooja ja hubasust kamin. Köögist leiate kõik söögitegemiseks vajamineva, nõudepesu eest hoolitseb masin. Igavuse peletamiseks lauamängud, raamatud, mänguasjad lastele. Õuest leiab grilli ja lapsed saavad kiikuda.",Majutus,Puhkemaja,,https://www.nplihouse.com/,puhka@nplihouse.com,+372 56628643,"Arumäe, Nüpli küla, Otepää vald, Valga maakond",https://www.nplihouse.com/broneeri,,"Külmutuskapp,Parkimine tasuta,Puhkeala/piknikuplats,WC,WIFI",,,,,,16574424.0,HRVK OÜ,"ARUMÄE, Nüpli küla, Otepää vald, Valga maakond",+372 56622850,puhka@nplihouse.com,https://www.nplihouse.com/,Lõuna-Eesti,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,2.0,6.0,6.0,6.0,0.0,0.0
Nunne Boutique Hotel,"Nunne Boutique Hotel on koht, kus ajalugu kohtub luksusliku mugavusega. 74 numbritoa, spaa ja restoraniga hotell asub Tallinna vanalinna südames, ajaloolise linnamüüri ümber paiknevas Nunne kvartalis. Keskajast pärinevatesse hoonetesse rajatud elegantne hotell on ideaalne peatuspaik nii äri- kui puhkusereisiks neile, kes hindavad kvaliteeti, mugavust ja midagi erilist, mis teeks nende puhkusest meeldejääva kogemuse.",Majutus,Hotell,"Peresõbralik,Spaad",https://www.nunne.ee,info@nunne.ee,+372 6776777,"Nunne tn 14, Kesklinna linnaosa, Tallinn, Harju maakond",https://app.mews.com/distributor/848c0d7d-9d4f-4118-bb6b-afe10077a808,,"Allergikute toad,Gruppide toitlustus,Invatoad,Konditsioneer,Laste mängutuba,Saun,Seminariruum,Toitlustus,WC,WIFI",4 tärni,https://www.facebook.com/profile.php?id=100088903371708,https://www.instagram.com/nunneboutiquehotel/,,,12998104.0,Nunne Kvartal OÜ,"Nunne tänav 14, Kesklinna linnaosa, Tallinn, Harju maakond",+372 6776777,info@nunne.ee,,Tallinn,,,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ööpäevaringselt,00:00-24:00,,74.0,136.0,0.0,0.0,0.0,0.0
Nurga talu majutus ja suitsusaun,Nurga talu majutus ja suitsusaun asub looduslikult kaunis ja vaikses kohas. Õueala ümbritseb kolmest küljest männimets ning päikesetõusu suunal on heinamaa ja meri. Vaikust kaunistab linnulaul. Autoteeni on 200 meetrit.Meie juures on võimalik ööbida mitut moodi:Glämping-telk on ööbimiseks sobiv kuni 4 inimesesle. Telgis on kaheinimese voodi ja lahtikäiv diivan.Lakas värsketel heintel on neli ööbimiskohta.Matkatelgis saab ööbida neljakesi.Kosutava hommikusöögi võimalus lisatasu eest.Pakume ehedat Kihnu suitsusauna! Nautida saab ka kümblustünni.Ootame Sind külla!,Majutus,Kodumajutus,,,lea.jogisuu@gmail.com,+372 53577335,"Nurga, Lemsi küla, Kihnu vald, Pärnu maakond",,,"Kuivkäimla,Külmutuskapp,Parkimine tasuta,Pesumasin,WC,WIFI",,,,,,16532740.0,Lea Jõgisuu FIE,"NURGA, Lemsi küla, Kihnu vald, Pärnu maakond",+372 53577335,lea.jogisuu@gmail.com,,Lääne-Eesti,,Kihnu,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,0.0,0.0,0.0,0.0,0.0,8.0
Nurka talu - taluhäärber Pärnumaal,"Pärnumaal Luitemaa looduskaitsealal asuv Nurka talu pakub hubast majutust, konverentsiteenust, sauna, ruumide renti ürituste korraldamiseks ja loodusmatkasid.Üle 100 aasta vana talukompleks on kuue aastaga renoveeritud kaasaegseks, kõigi mugavustega puhkekohaks. Peamajas on kuus magamistuba, kaminasaal, elutuba ja suur köök . Majutus kuni 20-le inimesele.Käsitöömajas on kaks suurt ruumi ja teisel korrusel kolm tuba.Majutus kuni 10-le.Suvel majutuseks ka aidakambrid!  Talul on suur tiik , kümblustünn ja kaks sauna.Suur seminariruum mahutab kuni 60 inimest.",Majutus,Kodumajutus,,https://nurka.ee/,kati@vipreisid.ee,+372 5019766,"Nurka, Piirumi küla, Häädemeeste vald, Pärnu maakond",https://www.booking.com/hotel/ee/nurka-talu.et.html,,"Külmutuskapp,Laste mängutuba,Parkimine tasuta,Peretoad,Pesumasin,Saun,WC,WIFI",,https://www.facebook.com/nurkatalu,,,,10087284.0,VIP Reisid OÜ,"Maakri tänav 36, Kesklinna linnaosa, Tallinn, Harju maakond",+372 6605418,vip@vipreisid.ee,,Lääne-Eesti,,,Hooajaliselt,1 Juuni - 30 August,Ainult ettetellimisel,,,9.0,0.0,55.0,20.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Oktoober - 30 Aprill,Ainult ettetellimisel,,,9.0,0.0,55.0,20.0,0.0,0.0
Nurmeveski külalistemaja,"Külalistemaja asub Sauga jõe kaldal ja on nime saanud vana vesiveski järgi. Enam kui 100-aastane elumaja on täielikult renoveeritud ja pakub looduslähedast puhkusepaika. Külalistemajas on kahe- kuni neljakohalised toad, neljas toas on kööginurk, kahel rõdu.Avar õueala sobib lastele mängimiseks ja täiskasvanutele meeldivalt aja veetmiseks. Meil on olemas palliplats, grillmaja ja jõgi kalapüügiks, paadisõiduks või ujumiseks.Nurmeveski külalistemaja eeliseks on privaatsus ning hubasus, tänu oma stiilile ja asukohale on tegemist ideaalse kohaga väiksemale seltskonnale.Olete oodatud!",Majutus,Külalistemaja,,https://www.nurmeveski.ee,info@nurmeveski.ee,+372 515 4118,"Nurmeveski, Nurme küla, Tori vald, Pärnu maakond",https://www.booking.com/hotel/ee/nurmeveski-holiday-house.et.html?aid=304142&checkin=2024-06-11&checkout=2024-06-15&dest_id=-2624077&dest_type=city&group_adults=2&group_children=0&label=gen173nr-1FCBkoggI46AdIM1gEaEKIAQGYAQu4ARjIAQzYAQHoAQH4AQyIAgGoAgS4AtbCv6wGwAIB0gIkMDk3MWQ4OTEtMTJmNi00ZjYxLWE5N2QtYzM4M2NjYmVjNzFm2AIG4AIB-Share-O6Moc7%401703928840&no_rooms=1&req_adults=2&req_children=0,,"Külmutuskapp,Parkimine tasuta,Puhkeala/piknikuplats,WC,WIFI",,https://www.facebook.com/Nurmeveski-k%C3%BClalistemaja-Nurmeveski-Guesthouse-342896235743727/,https://nurmeveski.kulalistemaja,,,10276677.0,Peeter Projekt OÜ,,+372 5154118,peeterprojekt@hot.ee,,Lääne-Eesti,,,Hooajaliselt,1 Juuni - 31 August,Igapäevaselt sama,08:00-20:00,,9.0,20.0,24.0,17.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,1 September - 31 Mai,Ainult ettetellimisel,,,8.0,17.0,24.0,17.0,0.0,0.0
Nuustaku Rantšo puhkemaja,"Nuustaku Rantšo on tõenäoliselt sportlikum puhkemaja Otepääl. Oleme spetsialiseerunud aktiivse puhkaja ja elamussündmuste pakkumisele.Lisaks kahele majutushoonele (21 majutuskohaga) pakume mõnusat äraolemist välikamina, grilli ja kööginurgaga varustatud grillimajas ning saunamõnusid Hiiglaste saunas või kümblustünnis koos tiigisuplusega. Suvel ootavad hoovialal kliente mitmed vabaajaatraktsioonid (jalkabiljard, vibu, muruhoki) ning talvel viime lasketiiru laskma või murdmaasuusa koolitusele. Erinevate aktiivsete tegevuste kohta leiad põhjalikuma info meie kodulehelt.
Kohtume Nuustaku Rantšos! ",Majutus,Puhkemaja,,http://www.nuustakurantso.ee,info@nuustakurantso.ee,+372 504 9643,"Priidu, Pedajamäe küla, Otepää vald, Valga maakond",https://www.booking.com/hotel/ee/nuustaku-ranch.et.html,,"Külmutuskapp,Parkimine tasuta,Pesumasin,Puhkeala/piknikuplats,Saun,Seminariruum,WC,WIFI",,https://www.facebook.com/nuustakurantso,,,,14329212.0,Nabakümme OÜ,"Priidu, Pedajamäe küla, Otepää vald, Valga maakond",+372 504 9643,priitviks@gmail.com,,Lõuna-Eesti,,,Hooajaliselt,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,8.0,10.0,22.0,10.0,0.0,0.0
Nuutri villa,"Nuutri villa on hubane ja romantilises stiilis saunamaja. Maja ülemisel korrusel on kolm magamistuba ja WC-duširuum. Igas toas kaks voodikohta, kahes toas lisavoodi võimalus.Maja alumisel korrusel asub köök, saun, tualettruum ja kaminasaal. Kaminasaalist ja sauna eesruumist pääseb verandale, kus asub puuküttega kümblustünn. Väljas on loodud võimalused grillimiseks ja lastele ala mängimiseks. Õuealal asub privaatne parkla puhkemaja külalistele.Nuutri Villa on ideaalne puhkuseks pere ja sõpradega ning ürituste korraldamiseks. Puhkemaja kõrval asub viie magamistoaga Tiismani villa. ",Majutus,Külalistemaja,,https://www.nuutripuhkemajad.ee/,info@nuutripuhkemajad.ee,+372 55512314,"Koidu tn 5, Kärdla linn, Hiiumaa vald, Hiiu maakond",https://www.booking.com/hotel/ee/nuutri-villa,,"Külmutuskapp,Parkimine tasuta,Pesumasin,Puhkeala/piknikuplats,WC,WIFI",,https://www.facebook.com/NuutriPuhkemajad,https://www.instagram.com/nuutripuhkemajad,,,12147576.0,Hiiu Auto OÜ,"Rookopli tänav 17, Kärdla linn, Hiiumaa vald, Hiiu maakond",+372 55512314,info@nuutripuhkemajad.ee,,Lääne-Eesti,,Hiiumaa,Ei ole hooajaline,1 Jaanuar - 31 Detsember,Ainult ettetellimisel,,,3.0,6.0,0.0,0.0,0.0,0.0
